,accuracies,losses
230,0.528528,0.918515
231,0.529569,0.877177
232,0.530901,0.768506
233,0.532137,0.783753
234,0.533319,0.847016
235,0.534661,0.805997
236,0.535696,0.895661
237,0.536639,0.902847
238,0.537657,0.870772
239,0.538833,0.799669
240,0.540124,0.739043
241,0.541281,0.750817
242,0.542222,0.938876
243,0.543279,0.791851
244,0.54449,0.810487
245,0.545488,0.817308
246,0.546559,0.858647
247,0.547258,1.00827
248,0.548434,0.81344
249,0.54944,0.87797
250,0.550677,0.698199
251,0.551587,0.737219
252,0.552609,0.705884
253,0.553701,0.766999
254,0.554824,0.647638
255,0.556094,0.598008
256,0.557354,0.661474
257,0.558527,0.699946
258,0.559459,0.778925
259,0.560577,0.702636
260,0.561801,0.613783
261,0.563092,0.60061
262,0.564221,0.70249
263,0.565189,0.808922
264,0.566113,0.807949
265,0.567105,0.790535
266,0.568015,0.833998
267,0.568619,0.824504
268,0.569554,0.77662
269,0.570593,0.656679
270,0.571587,0.668076
271,0.572316,0.83867
272,0.573223,0.713553
273,0.574343,0.658985
274,0.575236,0.683771
275,0.576413,0.61426
276,0.577365,0.709761
277,0.578201,0.745632
278,0.579283,0.622698
279,0.580321,0.539695
280,0.581566,0.463013
281,0.582589,0.671428
282,0.58364,0.558663
283,0.584577,0.78526
284,0.585614,0.531688
285,0.586538,0.584433
286,0.587282,0.868008
287,0.588021,0.651473
288,0.588824,0.631585
289,0.589621,0.672321
290,0.590481,0.676866
291,0.591164,0.821727
292,0.592048,0.630781
293,0.592857,0.642824
294,0.593729,0.541258
295,0.594527,0.646292
296,0.59532,0.623443
297,0.595906,0.81198
298,0.596455,0.826029
299,0.597,0.870726
300,0.597674,0.730891
301,0.59798,0.978248
302,0.598944,0.579853
303,0.599671,0.584309
304,0.600328,0.732291
305,0.601078,0.728325
306,0.601694,0.829813
307,0.602597,0.648161
308,0.603042,0.731153
309,0.603806,0.635554
310,0.60463,0.638184
311,0.605481,0.610714
312,0.606166,0.688702
313,0.606592,0.960685
314,0.607238,0.692078
315,0.608228,0.548164
316,0.608864,0.696629
317,0.609497,0.734146
318,0.610345,0.546844
319,0.611063,0.567673
320,0.611776,0.576935
321,0.612298,0.756991
322,0.612724,0.851113
323,0.613117,0.749233
324,0.613415,0.819879
325,0.614018,0.669214
326,0.614924,0.478129
327,0.615701,0.659343
328,0.616535,0.53049
329,0.617515,0.495138
330,0.618036,0.692377
331,0.618825,0.543257
332,0.61952,0.618486
333,0.61997,0.751177
334,0.620657,0.56338
335,0.621488,0.502896
336,0.622285,0.457086
337,0.623018,0.524091
338,0.623776,0.366325
339,0.624676,0.392895
340,0.62522,0.641547
341,0.625994,0.494345
342,0.626822,0.384218
343,0.6275,0.522273
344,0.628203,0.61595
345,0.628728,0.632493
346,0.62928,0.595304
347,0.62977,0.649429
348,0.630229,0.747606
349,0.630943,0.591451
350,0.631738,0.476815
351,0.632273,0.588917
352,0.632975,0.548835
353,0.633701,0.474905
354,0.634225,0.541965
355,0.635056,0.456336
356,0.63549,0.648537
357,0.636145,0.511132
358,0.636908,0.440026
359,0.637528,0.51609
360,0.638089,0.644216
361,0.638812,0.478258
362,0.639559,0.351191
363,0.64022,0.426896
364,0.640767,0.641749
365,0.641475,0.38768
366,0.642207,0.378426
367,0.642826,0.474701
368,0.643333,0.545981
369,0.644081,0.370689
370,0.644555,0.537869
371,0.645081,0.591655
372,0.64555,0.550019
373,0.645882,0.740704
374,0.64624,0.755681
375,0.646622,0.662566
376,0.647374,0.40388
377,0.647989,0.498514
378,0.648628,0.51709
379,0.649211,0.505155
380,0.649816,0.502097
381,0.650445,0.416041
382,0.650914,0.568779
383,0.651406,0.538747
384,0.65213,0.367534
385,0.652565,0.638029
386,0.652946,0.633855
387,0.653531,0.454847
388,0.654242,0.345887
389,0.654949,0.371151
390,0.655678,0.342304
391,0.656352,0.399403
392,0.656921,0.433048
393,0.65736,0.708537
394,0.657797,0.668753
395,0.658409,0.473345
396,0.658967,0.554045
397,0.659573,0.608157
398,0.66005,0.5638
399,0.660475,0.601589
400,0.660973,0.445509
401,0.661542,0.391011
402,0.66196,0.44858
403,0.662599,0.424842
404,0.663111,0.518244
405,0.663547,0.507308
406,0.664103,0.465798
407,0.664657,0.421718
408,0.665281,0.342195
409,0.665902,0.370064
410,0.666399,0.534791
411,0.667015,0.459223
412,0.667337,0.59026
413,0.667681,0.622202
414,0.668,0.658923
415,0.668437,0.633482
416,0.668945,0.407252
417,0.669378,0.558446
418,0.669928,0.418465
419,0.670405,0.487926
420,0.670926,0.452205
421,0.67128,0.583636
422,0.671678,0.535218
423,0.671958,0.659316
424,0.6724,0.604984
425,0.67284,0.52432
426,0.673302,0.449108
427,0.673715,0.508082
428,0.674173,0.521134
429,0.674419,0.647471
430,0.674687,0.651
431,0.675231,0.387231
432,0.675635,0.501153
433,0.676244,0.273838
434,0.676782,0.296376
435,0.677271,0.454355
436,0.677849,0.410101
437,0.678333,0.442508
438,0.678724,0.518234
439,0.679159,0.51459
440,0.679614,0.434935
441,0.679842,0.646693
442,0.680158,0.587789
443,0.680405,0.591103
444,0.680876,0.488292
445,0.681457,0.306762
446,0.681991,0.300996
447,0.682455,0.439519
448,0.682806,0.634578
449,0.683156,0.451706
450,0.683437,0.612752
451,0.683827,0.481098
452,0.684283,0.353736
453,0.684846,0.322576
454,0.685099,0.589817
455,0.685504,0.462255
456,0.685886,0.452531
457,0.686332,0.45289
458,0.686688,0.579795
459,0.687109,0.458639
460,0.687484,0.571385
461,0.687922,0.459316
462,0.688272,0.551741
463,0.688578,0.604296
464,0.688925,0.48766
465,0.689378,0.359869
466,0.689807,0.39807
467,0.690256,0.38592
468,0.690682,0.344312
469,0.691106,0.372351
470,0.691465,0.430941
471,0.691949,0.369245
472,0.692262,0.496863
473,0.692574,0.503652
474,0.692905,0.521501
475,0.693277,0.499773
476,0.693501,0.567984
477,0.693849,0.406732
478,0.694322,0.285767
479,0.694562,0.57364
480,0.69501,0.362809
481,0.695456,0.301877
482,0.695921,0.294993
483,0.69626,0.580163
484,0.696783,0.24889
485,0.69714,0.434806
486,0.697598,0.366811
487,0.698012,0.275137
488,0.698466,0.329939
489,0.698694,0.593376
490,0.698921,0.694172
491,0.699228,0.48526
492,0.699513,0.486699
493,0.699899,0.309702
494,0.700061,0.542919
495,0.700161,0.789784
496,0.700443,0.572106
497,0.700904,0.357389
498,0.701122,0.643953
499,0.70144,0.515642
500,0.701816,0.460508
501,0.702211,0.326274
502,0.702585,0.497407
503,0.702778,0.702646
504,0.703069,0.617352
505,0.70334,0.501696
506,0.703669,0.462976
507,0.703996,0.508588
