,accuracies,losses
916,0.839306,0.83458
917,0.839119,0.898948
918,0.83906,0.637392
919,0.838906,0.675492
920,0.838879,0.600724
921,0.838851,0.756533
922,0.838669,0.861728
923,0.838519,0.793721
924,0.838123,0.858893
925,0.837975,0.729361
926,0.838073,0.604219
927,0.83814,0.692006
928,0.838237,0.569143
929,0.838545,0.589266
930,0.83852,0.713172
931,0.838645,0.583259
932,0.838619,0.661273
933,0.838503,0.765998
934,0.838507,0.65696
935,0.838571,0.619439
936,0.838754,0.548767
937,0.838876,0.566719
938,0.839115,0.413834
939,0.839412,0.473867
940,0.83956,0.703102
941,0.839766,0.542232
942,0.839942,0.478315
943,0.840087,0.588231
944,0.840087,0.675969
945,0.839913,0.698419
946,0.84,0.664224
947,0.84,0.708152
948,0.839885,0.821563
949,0.839914,0.652382
950,0.840057,0.546733
951,0.840057,0.664705
952,0.840085,0.639182
953,0.840198,0.578579
954,0.840169,0.631222
955,0.840253,0.570338
956,0.84,0.766067
957,0.840112,0.557868
958,0.840223,0.577402
959,0.840194,0.699058
960,0.840083,0.819858
961,0.840221,0.579431
962,0.840386,0.473735
963,0.840467,0.583109
964,0.840411,0.808703
965,0.840519,0.520025
966,0.84079,0.44034
967,0.84087,0.519636
968,0.84084,0.652612
969,0.841,0.516964
970,0.840997,0.625794
971,0.841021,0.624027
972,0.840992,0.649141
973,0.840909,0.774787
974,0.840773,0.834541
975,0.840638,0.722993
976,0.840743,0.586212
977,0.840794,0.622998
978,0.840792,0.664486
979,0.840921,0.625227
980,0.840971,0.666259
981,0.841152,0.522687
982,0.841149,0.653546
983,0.84112,0.723161
984,0.841325,0.499264
985,0.841218,0.753941
986,0.841137,0.728125
987,0.841289,0.544813
988,0.841465,0.480521
989,0.84159,0.479366
990,0.841765,0.469807
991,0.841913,0.498855
992,0.84201,0.544954
993,0.841929,0.786179
994,0.841722,0.805527
995,0.841793,0.617556
996,0.841864,0.692648
997,0.841759,0.793536
998,0.841654,0.729329
999,0.8416,0.71812
1000,0.841696,0.554729
1001,0.841816,0.552017
1002,0.841836,0.562185
1003,0.84198,0.569244
1004,0.841877,0.665376
1005,0.841847,0.700453
1006,0.841966,0.569632
1007,0.84201,0.607536
1008,0.842103,0.490801
1009,0.84222,0.511408
1010,0.842141,0.694714
1011,0.842233,0.628388
1012,0.842155,0.704623
1013,0.841956,0.852148
1014,0.841783,0.842245
1015,0.841659,0.798097
1016,0.841751,0.594838
1017,0.841722,0.759303
1018,0.841814,0.576307
1019,0.841833,0.618628
1020,0.8419,0.56918
1021,0.841754,0.774065
1022,0.841608,0.780008
1023,0.841415,0.841411
1024,0.841412,0.719796
1025,0.841455,0.598835
1026,0.841475,0.568882
1027,0.841612,0.578241
1028,0.841585,0.618645
1029,0.841488,0.732469
1030,0.841392,0.815357
1031,0.841528,0.533356
1032,0.841594,0.565972
1033,0.84182,0.411175
1034,0.842023,0.442366
1035,0.841995,0.560802
1036,0.842128,0.517141
1037,0.842215,0.551989
1038,0.84221,0.649941
1039,0.842205,0.665371
1040,0.84229,0.615657
1041,0.842059,0.794577
1042,0.841896,0.731552
1043,0.841824,0.771362
1044,0.841933,0.612155
1045,0.842108,0.438191
1046,0.842237,0.480746
1047,0.842299,0.594796
1048,0.842294,0.729189
1049,0.842267,0.604092
1050,0.842129,0.741925
1051,0.842124,0.659316
1052,0.842163,0.527758
1053,0.842357,0.47344
1054,0.842242,0.777129
1055,0.842259,0.610606
1056,0.842232,0.624862
1057,0.842336,0.583471
1058,0.842266,0.758915
1059,0.842304,0.668598
1060,0.842278,0.75317
1061,0.842338,0.641686
1062,0.842268,0.724329
1063,0.842198,0.732838
1064,0.842194,0.623978
1065,0.842339,0.493359
1066,0.842355,0.551412
1067,0.842457,0.501061
1068,0.842495,0.52813
1069,0.842553,0.523948
1070,0.842548,0.562909
1071,0.842691,0.536025
1072,0.842727,0.694875
1073,0.842658,0.694258
1074,0.842632,0.679558
1075,0.842773,0.56982
1076,0.842704,0.71791
1077,0.84272,0.597327
1078,0.84286,0.460381
1079,0.842771,0.72289
1080,0.842931,0.484512
1081,0.843112,0.38446
1082,0.84323,0.449479
1083,0.843244,0.679769
1084,0.843443,0.412218
1085,0.843457,0.552535
1086,0.843593,0.513781
1087,0.843709,0.461893
1088,0.843763,0.49223
1089,0.843612,0.804763
1090,0.843462,0.853517
1091,0.843313,0.672329
1092,0.843306,0.648018
1093,0.843401,0.446684
1094,0.843232,0.723751
1095,0.842923,1.01342
1096,0.842958,0.699952
1097,0.843072,0.560196
1098,0.842946,0.762233
1099,0.84298,0.688511
1100,0.842994,0.633411
1101,0.843068,0.490856
1102,0.843082,0.6416
1103,0.843016,0.797983
1104,0.84299,0.769176
1105,0.842945,0.676345
1106,0.842939,0.635772
1107,0.842953,0.640457
1108,0.842888,0.556458
1109,0.843,0.426859
1110,0.84319,0.456524
1111,0.843223,0.602716
1112,0.843138,0.662376
1113,0.843113,0.59114
1114,0.843282,0.436416
1115,0.843411,0.459199
1116,0.84354,0.525802
1117,0.843649,0.580159
1118,0.843738,0.513172
1119,0.84375,0.607869
1120,0.843724,0.671273
1121,0.843429,0.874702
1122,0.843346,0.703592
1123,0.843397,0.571011
1124,0.843524,0.420091
1125,0.843669,0.38317
1126,0.843719,0.59429
1127,0.843655,0.724615
1128,0.843592,0.709962
1129,0.843509,0.762856
1130,0.843522,0.567514
1131,0.843553,0.603434
1132,0.84364,0.571814
1133,0.843708,0.436858
1134,0.843813,0.516016
1135,0.843787,0.713473
1136,0.843818,0.566301
1137,0.844015,0.497054
1138,0.844063,0.547885
1139,0.844,0.712412
1140,0.843956,0.734216
1141,0.843967,0.544737
1142,0.844088,0.507327
1143,0.844173,0.517326
1144,0.844128,0.521638
1145,0.844103,0.597022
1146,0.84426,0.412276
1147,0.844361,0.475873
1148,0.844353,0.613223
1149,0.844218,0.892893
1150,0.844301,0.49563
1151,0.844402,0.483442
1152,0.844539,0.460057
